Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/animal/insecta-ant-colony2-day29.edges	132	2373	[1,127]	77|0	0|1	30	9	9	58	9	4	9	4	9	4	33	18	
d/animal/fish-guppy-familiar-7.edges	7	15	[9,20]	5|0	0|0	3	1	1	0	1	1	0	1	0	1	0	1	
d/animal/insecta-ant-colony6-day18.edges	165	7061	[1,130]	129|0	0|0	43	11	10	113	10	5	10	5	10	5	50	28	
d/animal/insecta-ant-colony1-day06.edges	114	4259	[1,118]	100|0	0|0	43	12	11	82	11	5	9	5	8	5	46	25	
d/animal/insecta-beetle-group-t2-period-1.edges	31	178	[0,0]	22|0	0|0	22	0	0	12	12	6	12	6	12	6	12	6	
d/animal/insecta-ant-trophallaxis-colony2.edges	40	245	[1,794]	25|0	3|1	12	5	4	13	4	2	3	2	3	2	11	6	
d/animal/insecta-ant-colony4-day22.edges	102	1234	[1,104]	54|0	0|0	23	7	5	47	5	3	5	3	5	3	28	15	
d/animal/insecta-beetle-group-c3-period-2.edges	30	174	[0,0]	19|0	1|0	19	0	0	13	13	8	13	8	13	8	13	8	
d/animal/insecta-ant-colony3-day32.edges	161	2990	[1,91]	86|0	0|1	34	11	8	67	8	5	8	5	8	5	43	22	
d/animal/fish-guppy-familiar-6.edges	7	15	[14,25]	5|0	0|0	3	1	1	0	1	1	1	1	1	1	0	1	
d/animal/insecta-ant-colony5-day32.edges	152	1546	[1,110]	62|0	0|0	25	9	9	53	9	4	9	4	7	4	26	17	
d/animal/insecta-ant-colony5-day01.edges	153	9053	[1,250]	150|0	0|0	52	14	12	129	12	6	11	6	11	6	64	38	
d/animal/insecta-ant-colony3-day18.edges	161	6609	[1,288]	128|0	0|0	52	15	11	112	11	6	11	6	9	6	62	29	
d/animal/insecta-ant-colony5-day27.edges	152	2856	[1,123]	83|0	0|0	26	9	7	71	7	4	7	4	6	4	37	21	
d/animal/insecta-ant-colony2-day25.edges	132	2336	[1,214]	78|0	0|0	30	9	8	60	8	4	8	4	8	4	30	18	
d/animal/aves-wildbird-network-5.edges	192	2512	[0,1]	78|0	2|4	78	70	70	50	50	39	50	39	50	39	50	39	
d/animal/insecta-ant-colony3-day05.edges	161	8863	[1,182]	152|0	0|0	64	20	17	124	17	7	11	7	11	7	81	43	
d/animal/insecta-ant-colony2-day26.edges	132	2351	[1,126]	82|0	1|0	27	9	7	58	7	4	7	4	6	4	28	17	
d/animal/insecta-ant-colony6-day17.edges	165	7178	[1,159]	137|0	0|0	44	12	10	112	10	5	10	5	10	5	52	27	
d/animal/insecta-ant-colony1-day40.edges	113	1094	[1,93]	50|0	0|0	24	8	6	43	6	3	6	3	5	3	23	13	
d/animal/insecta-ant-colony2-day30.edges	132	2401	[1,83]	79|0	0|0	27	9	7	62	7	4	6	4	6	4	33	20	
d/animal/reptilia-tortoise-network-bsv.edges	137	374	[1996,1999]	19|0	20|24	16	11	8	8	6	6	6	6	6	6	8	6	
d/animal/aves-geese-male-foraging.edges	24	253	[0,173]	22|0	0|0	19	9	7	0	5	4	4	4	4	4	14	7	
d/animal/insecta-ant-colony1-day17.edges	113	3342	[1,247]	96|0	0|0	37	12	9	77	9	5	9	5	9	5	42	25	
d/animal/insecta-ant-colony5-day06.edges	153	8379	[1,275]	149|0	0|0	56	19	13	120	13	6	13	6	10	6	60	33	
d/animal/insecta-ant-trophallaxis-colony2-day5.edges	35	32	[10,546]	4|0	10|9	1	0	0	1	0	0	0	0	0	0	1	0	
d/animal/insecta-ant-colony3-day12.edges	161	6404	[1,107]	126|0	0|0	52	17	12	103	12	6	11	6	10	6	61	33	
d/animal/insecta-ant-colony4-day20.edges	102	2184	[1,70]	70|0	0|0	28	10	9	67	9	4	9	4	9	4	33	21	
d/animal/aves-wildbird-network-3.edges	170	1615	[0,0]	58|0	0|5	58	0	0	41	41	25	41	25	41	25	41	25	
d/animal/insecta-ant-colony3-day30.edges	161	4321	[1,161]	104|0	1|0	39	13	12	84	12	5	9	5	9	5	47	25	
d/animal/insecta-ant-colony2-day10.edges	132	5679	[1,187]	124|0	0|0	41	13	10	105	10	5	10	5	10	5	50	26	
